Date,Open,High,Low,Close,Adj Close,Volume
2019-10-02,61.933182,62.053112,60.979439,61.967445,61.967445,2226221
2019-10-03,61.998859,63.649342,61.413479,63.132496,63.132496,3427407
2019-10-04,63.295261,64.223305,62.772701,63.135349,63.135349,2976000
2019-10-07,64.394630,65.279839,63.635067,64.940033,64.940033,3490794
2019-10-08,63.512280,64.571671,63.075386,63.469444,63.469444,2445797
2019-10-09,63.620789,64.917191,63.172474,64.297546,64.297546,1779366
2019-10-10,64.123360,65.451172,63.515133,64.268990,64.268990,2465758
2019-10-11,68.089661,68.246719,64.585953,64.828667,64.828667,7616500
2019-10-14,64.825813,65.439751,63.894917,64.680183,64.680183,2060927
2019-10-15,64.680183,65.885208,64.271843,65.642487,65.642487,2363500
2019-10-16,65.139923,66.459167,64.543121,66.287834,66.287834,2092095
2019-10-17,66.710449,66.710449,65.822388,66.142204,66.142204,1709326
2019-10-18,65.965164,66.233582,63.300972,63.349514,63.349514,2656267
2019-10-21,64.103371,64.768707,63.183895,64.360367,64.360367,3141994
2019-10-22,64.557396,64.557396,63.121075,63.395203,63.395203,2433890
2019-10-23,63.355225,64.674469,63.143917,63.929184,63.929184,2854830
2019-10-24,64.417473,65.351227,64.249001,64.665909,64.665909,2026257
2019-10-25,64.680183,65.431183,64.628784,64.771561,64.771561,1858862
2019-10-28,64.777267,65.445457,64.174759,64.977158,64.977158,2484669
2019-10-29,64.817245,65.676758,64.097656,64.137634,64.137634,1378037
2019-10-30,64.434608,65.148483,63.846375,64.825813,64.825813,2663971
2019-10-31,65.105652,65.622498,64.711594,64.891495,64.891495,2596033
2019-11-01,64.740150,66.324959,64.545975,65.551117,65.551117,3212735
2019-11-04,65.579666,66.053680,64.251854,64.374641,64.374641,3239000
2019-11-05,64.391777,65.194176,63.318104,63.406624,63.406624,4375049
2019-11-06,58.095375,61.504852,57.826958,60.705311,60.705311,7255444
2019-11-07,63.840660,65.279839,61.890347,63.032555,63.032555,6750455
2019-11-08,62.964020,63.632210,61.916046,62.806969,62.806969,2964443
2019-11-11,62.561394,63.192459,62.370075,62.886921,62.886921,2176493
2019-11-12,62.532837,63.083954,61.816105,62.375786,62.375786,2073184
2019-11-13,62.398628,62.729870,61.916046,62.392918,62.392918,2576772
2019-11-14,62.078812,62.881210,61.941750,62.841232,62.841232,3157753
2019-11-15,63.043976,63.697887,62.515705,63.340946,63.340946,1491502
2019-11-18,63.178185,64.123360,63.109653,64.100517,64.100517,2912613
2019-11-19,64.337524,64.954315,63.983437,64.728729,64.728729,2461206
2019-11-20,64.520271,65.177040,63.218163,64.091949,64.091949,2544203
2019-11-21,63.823528,65.022842,63.309536,63.340946,63.340946,2441244
2019-11-22,63.372360,63.586521,62.752712,63.289551,63.289551,1360527
2019-11-25,63.400913,63.837807,62.806969,63.292404,63.292404,2561713
2019-11-26,63.218163,64.386063,62.972588,63.358082,63.358082,5325141
2019-11-27,63.606510,63.606510,63.132496,63.492290,63.492290,3682003
2019-11-29,63.283836,63.997715,63.106796,63.592232,63.592232,1062857
2019-12-02,63.312393,63.589378,61.459167,62.233009,62.233009,1637885
2019-12-03,62.104511,62.104511,61.062248,61.684753,61.684753,2394668
2019-12-04,61.833237,62.784122,61.407768,61.462021,61.462021,2906310
2019-12-05,61.933182,62.261566,61.536266,61.836094,61.836094,2842924
2019-12-06,62.178757,62.524273,61.227871,61.676186,61.676186,2955338
2019-12-09,61.564819,62.058823,61.159340,61.479156,61.479156,2289958
2019-12-10,61.813251,62.341518,61.402058,61.664764,61.664764,3158804
2019-12-11,61.504852,62.081669,61.242146,61.901772,61.901772,1230253
2019-12-12,61.639065,62.541405,61.639065,62.352940,62.352940,2887399
2019-12-13,62.418617,64.206169,62.284409,64.146202,64.146202,2626500
2019-12-16,64.337524,65.148483,64.006279,64.531693,64.531693,4955680
2019-12-17,64.820107,64.928612,62.804111,63.746429,63.746429,3459976
2019-12-18,63.946316,64.263275,63.141064,63.166763,63.166763,4153722
2019-12-19,65.119934,69.308968,64.822960,68.078239,68.078239,8410403
2019-12-20,68.737862,70.528267,67.647057,70.199883,70.199883,5105566
2019-12-23,70.762421,70.762421,69.537407,70.059967,70.059967,3778658
2019-12-24,69.920044,70.799545,69.920044,70.408340,70.408340,520047
2019-12-26,70.411194,71.473442,70.411194,71.347801,71.347801,3327951
2019-12-27,71.827530,72.387207,70.968018,72.101654,72.101654,3143395
2019-12-30,71.887489,71.990288,70.825241,71.407768,71.407768,3128337
2019-12-31,70.750999,71.599083,70.750999,71.133636,71.133636,1768160
2020-01-02,71.482010,72.958313,71.373505,72.895485,72.895485,3623519
2020-01-03,72.030266,72.687035,71.904625,72.504280,72.504280,2285055
2020-01-06,72.238724,72.629929,71.861794,72.598518,72.598518,3544374
2020-01-07,72.729866,73.323814,72.127357,73.058250,73.058250,2792145
2020-01-08,73.103943,74.657341,73.103943,73.917763,73.917763,4241622
2020-01-09,74.565964,75.348373,73.937752,74.294685,74.294685,3396240
2020-01-10,74.834381,75.836662,74.129066,75.719589,75.719589,2361048
2020-01-13,75.819534,78.543686,75.819534,77.410049,77.410049,4594274
2020-01-14,77.298683,78.198174,76.713310,77.270134,77.270134,2882496
